"entity","en.hedo.happiness.delta_one_of_5__max","en.hedo.happiness.delta_one_of_5__mean","en.hedo.happiness.delta_one_of_5__mean_word_count_per_tweet","en.hedo.happiness.delta_one_of_5__median","en.hedo.happiness.delta_one_of_5__min","en.hedo.happiness.delta_one_of_5__mode","en.hedo.happiness.delta_one_of_5__num_tweets","en.hedo.happiness.delta_one_of_5__num_tweets_percentage","en.hedo.happiness.delta_one_of_5__sd","en.hedo.happiness.more_than_7__max","en.hedo.happiness.more_than_7__mean","en.hedo.happiness.more_than_7__mean_word_count_per_tweet","en.hedo.happiness.more_than_7__median","en.hedo.happiness.more_than_7__min","en.hedo.happiness.more_than_7__mode","en.hedo.happiness.more_than_7__num_tweets","en.hedo.happiness.more_than_7__num_tweets_percentage","en.hedo.happiness.more_than_7__sd","en.hedo.happiness.no_filter__max","en.hedo.happiness.no_filter__mean","en.hedo.happiness.no_filter__mean_word_count_per_tweet","en.hedo.happiness.no_filter__median","en.hedo.happiness.no_filter__min","en.hedo.happiness.no_filter__mode","en.hedo.happiness.no_filter__num_tweets","en.hedo.happiness.no_filter__num_tweets_percentage","en.hedo.happiness.no_filter__sd"
"Georgia,Hancock County",8.16,6.3,1.13,6.41,1.49,6.46,83,2.24,1.33,8.16,7.59,1.06,7.7,7.03,7.63,17,0.46,0.33,8.16,6.18,1.14,6.41,1.49,6.46,91,2.45,1.3
"Georgia,Haralson County",7.46,6.6,1.09,6.41,6.41,6.46,11,2.23,0.36,7.46,7.31,1,7.31,7.17,7.24,2,0.41,0.21,7.46,6.47,1.08,6.41,5,6.46,12,2.43,0.58
"Georgia,Harris County",6.41,3.73,NA,2.24,2.24,2.15,NA,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,3.73,NA,2.24,2.24,2.15,NA,NA,2.07
"Georgia,Henry County",8.19,6.44,1.12,6.41,1.49,6.46,122,1.94,1.18,8.19,7.32,1.03,7.33,7.03,7.24,34,0.54,0.22,8.19,6.33,1.11,6.41,1.49,6.46,132,2.1,1.2
"Georgia,Houston County",8.37,6.12,1.12,6.41,1.48,6.46,126,2.33,1.61,8.37,7.5,1.04,7.33,7.03,7.24,26,0.48,0.46,8.37,6.05,1.11,6.41,1.48,6.46,134,2.48,1.59
"Georgia,Jeff Davis County",7.72,6.43,1.29,6.41,3.95,6.46,21,2.38,0.67,7.72,7.47,1,7.36,7.33,7.44,3,0.34,0.22,7.72,6.3,1.26,6.41,3.95,6.46,23,2.61,0.78
"Georgia,Jefferson County",7.72,5.94,1.2,6.41,2.76,6.46,20,2.67,1.5,7.72,7.32,1,7.27,7.03,7.24,4,0.53,0.3,7.72,5.94,1.2,6.41,2.76,6.46,20,2.67,1.5
"Georgia,Lamar County",7.48,6.62,1.19,6.41,6.41,6.46,16,2.52,0.4,7.48,7.39,1,7.36,7.33,7.44,3,0.47,0.08,7.48,6.52,1.18,6.41,5,6.46,17,2.67,0.55
"Georgia,Laurens County",8.07,6.39,1.17,6.41,1.77,6.46,77,3.25,1.09,8.07,7.36,1.12,7.33,7.03,7.24,17,0.72,0.27,8.07,6.3,1.16,6.41,1.77,6.46,82,3.46,1.12
"Georgia,Lee County",8.37,5.73,1.1,6.41,1.49,6.46,20,2.99,2.13,8.37,7.7,1,7.54,7.36,7.44,4,0.6,0.48,8.37,5.68,1.1,6.41,1.49,6.46,21,3.14,2.08
"Georgia,Liberty County",7.72,6,1.17,6.41,1.48,6.46,64,2.78,1.72,7.72,7.38,1,7.36,7.07,7.44,15,0.65,0.16,7.72,5.9,1.16,6.41,1.48,6.46,70,3.04,1.67
"Georgia,Lincoln County",7.36,6.12,1,6.41,2.54,6.46,7,1.07,1.64,7.36,7.35,1,7.35,7.33,7.44,2,0.3,0.02,7.36,6.12,1,6.41,2.54,6.46,7,1.07,1.64
"Georgia,Lowndes County",8.07,6.4,1.17,6.41,1.49,6.46,203,2.13,1.05,8.07,7.39,1.03,7.36,7.07,7.44,36,0.38,0.24,8.07,6.27,1.16,6.41,1.49,6.46,221,2.32,1.09
"Georgia,Lumpkin County",7.78,6.62,1.09,6.41,6.41,6.46,11,3.73,0.48,7.78,7.57,1,7.57,7.36,7.63,2,0.68,0.3,7.78,6.45,1.08,6.41,4.53,6.46,12,4.07,0.76
"Georgia,Mitchell County",7.93,6.72,1.14,6.41,6.41,6.46,14,2.24,0.52,7.93,7.48,1,7.33,7.33,7.44,4,0.64,0.3,7.93,6.59,1.13,6.41,4.77,6.46,15,2.4,0.71
"Georgia,Morgan County",7.33,6.57,1.25,6.41,6.12,6.46,4,1.56,0.53,7.33,7.33,1,7.33,7.33,7.33,1,0.39,NA,7.33,5.85,1.17,6.27,4.17,6.46,6,2.34,1.19
"Georgia,Murray County",7.33,6.87,1,6.87,6.41,6.46,4,9.09,0.53,7.33,7.33,1,7.33,7.33,7.24,2,4.55,0,7.33,6.87,1,6.87,6.41,6.46,4,9.09,0.53
"Georgia,Muscogee County",8.07,6.24,1.17,6.41,1.49,6.46,353,2.46,1.35,8.07,7.39,1,7.33,7.07,7.24,73,0.51,0.23,8.07,6.15,1.16,6.41,1.49,6.46,374,2.61,1.36
"Georgia,Newton County",8.37,6.44,1.16,6.41,1.49,6.46,80,2.7,0.98,8.37,7.37,1.07,7.33,7.03,7.24,15,0.51,0.35,8.37,6.28,1.15,6.41,1.49,6.46,92,3.11,1.02
"Georgia,Paulding County",7.93,6.36,1.21,6.41,1.68,6.46,33,1.56,1.27,7.93,7.38,1.12,7.33,7.07,7.24,8,0.38,0.26,7.93,6.32,1.21,6.41,1.68,6.46,34,1.61,1.28
"Georgia,Peach County",7.93,6.2,1.13,6.41,1.49,6.46,60,2.03,1.29,7.93,7.52,1,7.54,7.07,7.83,6,0.2,0.32,7.93,6.14,1.13,6.41,1.49,6.46,63,2.13,1.29
"Georgia,Richmond County",8.07,6.25,1.18,6.41,1.34,6.46,340,2.16,1.28,8.07,7.4,1.05,7.36,7.07,7.24,59,0.38,0.25,8.07,6.17,1.17,6.41,1.34,6.46,359,2.28,1.28
"Georgia,Rockdale County",7.79,6.41,1.18,6.41,1.49,6.46,112,2.52,1.12,7.79,7.37,1.04,7.33,7.07,7.24,27,0.61,0.19,7.79,6.21,1.15,6.41,1.49,6.46,130,2.92,1.16
"Georgia,Spalding County",8.26,6.47,1.19,6.41,1.49,6.46,70,2,1.26,8.26,7.47,1,7.36,7.07,7.24,20,0.57,0.35,8.26,6.41,1.18,6.41,1.49,6.46,73,2.09,1.27
"Georgia,Sumter County",7.36,6.58,1.12,6.41,2.07,6.46,33,2.23,0.91,7.36,7.3,1,7.36,7.07,7.44,11,0.74,0.12,7.36,6.53,1.12,6.41,2.07,6.46,34,2.29,0.95
"Georgia,Tattnall County",7.36,6.12,1.08,6.41,1.77,6.46,36,2.47,1.61,7.36,7.28,1,7.33,7.07,7.24,10,0.69,0.11,7.36,6.12,1.08,6.41,1.77,6.46,36,2.47,1.61
"Georgia,Thomas County",7.36,6.25,1.05,6.41,1.89,6.46,20,2.88,1.52,7.36,7.35,1,7.35,7.33,7.44,6,0.86,0.02,7.36,6.25,1.05,6.41,1.89,6.46,20,2.88,1.52
"Georgia,Tift County",7.72,6.7,1.09,6.41,6.12,6.46,35,3.68,0.45,7.72,7.38,1,7.33,7.33,7.44,10,1.05,0.12,7.72,6.61,1.08,6.41,4.98,6.46,37,3.89,0.59
"Georgia,Troup County",7.79,6.59,1.05,6.41,6.39,6.46,38,1.97,0.39,7.79,7.38,1,7.33,7.17,7.24,7,0.36,0.22,7.79,6.49,1.05,6.41,4.17,6.46,40,2.08,0.59
"Georgia,Turner County",6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0
"Georgia,Upson County",7.9,6.58,1.15,6.41,1.68,6.46,54,3.11,1.06,7.9,7.4,1.05,7.36,7.07,7.44,19,1.1,0.21,7.9,6.52,1.14,6.41,1.68,6.46,56,3.23,1.09
"Georgia,Walton County",8.07,6.24,1.23,6.41,1.49,6.46,78,2.37,1.44,8.07,7.37,1,7.36,7.03,7.24,19,0.58,0.3,8.07,6.19,1.22,6.41,1.49,6.46,81,2.46,1.43
"Georgia,Warren County",7.72,7.54,1,7.54,7.36,7.44,2,0.83,0.25,7.72,7.54,1,7.54,7.36,7.44,2,0.83,0.25,7.72,7.54,1,7.54,7.36,7.44,2,0.83,0.25
"Georgia,Webster County",8.07,6.64,1.14,6.41,2.62,6.46,29,4.64,0.89,8.07,7.21,1.08,7.07,7.07,7.05,13,2.08,0.29,8.07,6.64,1.14,6.41,2.62,6.46,29,4.64,0.89
"Georgia,Whitfield County",7.72,6.44,1.2,6.41,1.6,6.46,25,2.34,1.11,7.72,7.42,1,7.35,7.07,7.24,6,0.56,0.25,7.72,6.26,1.17,6.41,1.6,6.46,29,2.71,1.13
"Georgia,Wilkinson County",7.36,6.21,1.07,6.41,1.48,6.46,14,1.57,1.4,7.36,7.21,1,7.21,7.07,7.05,2,0.22,0.21,7.36,6.16,1.14,6.41,1.48,6.46,14,1.57,1.4
"Georgia,Worth County",8.11,6.31,1.1,6.41,1.49,6.46,72,3.91,1.25,8.11,7.35,1,7.33,7.07,7.44,16,0.87,0.26,8.11,6.24,1.12,6.41,1.49,6.46,75,4.07,1.26
"Idaho,Ada County",8.48,6.16,1.19,6.41,1.48,6.46,201,3.71,1.5,8.48,7.41,1.07,7.36,7.07,7.24,42,0.78,0.26,8.48,6.07,1.18,6.41,1.48,6.46,218,4.03,1.48
"Idaho,Bannock County",7.72,6.62,1.08,6.41,6.41,6.46,13,2.47,0.39,7.72,7.39,1,7.39,7.07,7.05,2,0.38,0.46,7.72,6.4,1.07,6.41,4.98,6.46,15,2.85,0.68
"Idaho,Bingham County",8.5,6.31,1.18,6.41,1.48,6.46,959,3.23,1.27,8.5,7.45,1.03,7.36,7.03,7.44,207,0.7,0.34,8.5,6.2,1.18,6.41,1.48,6.46,1032,3.47,1.28
"Idaho,Blaine County",8.5,6.25,1.26,6.41,1.48,6.46,117,5.04,1.53,8.5,7.61,1.05,7.42,7.03,7.24,38,1.64,0.48,8.5,6.18,1.25,6.41,1.48,6.46,126,5.43,1.48
"Idaho,Bonner County",7.72,6.5,1.18,6.41,6.41,6.46,17,1.78,0.32,7.72,7.72,1,7.72,7.72,7.72,1,0.1,NA,7.72,6.41,1.17,6.41,4.98,6.46,18,1.89,0.47
"Idaho,Bonneville County",7.36,6.12,1.33,6.41,2.76,6.46,15,5.7,1.21,7.36,7.35,1,7.35,7.33,7.44,2,0.76,0.02,7.36,6.12,1.33,6.41,2.76,6.46,15,5.7,1.21
"Idaho,Canyon County",7.36,6.6,1.2,6.41,6.41,6.46,5,1.54,0.42,7.36,7.36,1,7.36,7.36,7.36,1,0.31,NA,7.36,6,1.12,6.41,4.77,6.46,8,2.47,0.89
"Idaho,Clark County",7.33,5.74,1,6.41,1.49,6.65,6,2.53,2.12,7.33,7.33,1,7.33,7.33,7.33,1,0.42,NA,7.33,5.74,1,6.41,1.49,6.65,6,2.53,2.12
"Idaho,Gooding County",7.27,6.04,1.29,6.41,1.74,6.46,7,3.83,1.93,8.01,7.64,1,7.64,7.27,7.24,2,1.09,0.52,7.27,5.91,1.25,6.41,1.74,6.65,8,4.37,1.83
"Idaho,Latah County",7.36,5.8,1,6.41,1.66,6.46,16,6.93,2.05,7.36,7.24,1,7.33,7.07,7.24,5,2.16,0.15,7.36,5.8,1,6.41,1.66,6.46,16,6.93,2.05
"Idaho,Madison County",7.92,6.98,1,6.88,6.41,6.46,6,3.03,0.66,7.92,7.55,1,7.36,7.36,7.44,3,1.52,0.32,7.92,6.63,1,6.41,4.53,6.46,7,3.54,1.1
"Idaho,Nez Perce County",7.33,6.19,1,6.41,2.24,6.46,11,3.12,1.36,7.33,7.33,1,7.33,7.33,7.24,2,0.57,0,7.33,5.88,1,6.41,2.24,6.46,13,3.68,1.46
"Idaho,Power County",8.5,5.98,1.24,6.68,1.17,7.05,247,17.95,2.23,8.54,7.81,1.13,7.9,7.01,8.02,120,8.72,0.42,8.5,5.79,1.26,6.41,1.17,6.65,308,22.38,2
"Idaho,Shoshone County",6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0
"Idaho,Twin Falls County",7.72,6.58,1.36,6.41,6.41,6.46,25,2.97,0.39,7.72,7.45,1,7.36,7.36,7.24,4,0.47,0.18,7.72,6.41,1.32,6.41,4.98,6.46,28,3.32,0.62
"Idaho,Washington County",8.41,6.26,1.18,6.41,1.23,6.46,966,3.67,1.43,8.5,7.52,1.05,7.36,7.03,7.44,242,0.92,0.37,8.41,6.11,1.18,6.41,1.23,6.46,1086,4.13,1.4
"Illinois,Adams County",7.93,6.27,1.3,6.41,1.49,6.46,40,3.24,1.42,7.93,7.45,1,7.35,7.04,7.24,10,0.81,0.26,7.93,6.27,1.3,6.41,1.49,6.46,40,3.24,1.42
"Illinois,Alexander County",7.33,6.23,1.36,6.41,3.41,6.46,11,3.32,0.98,7.33,7.33,1,7.33,7.33,7.33,1,0.3,NA,7.33,6.23,1.36,6.41,3.41,6.46,11,3.32,0.98
"Illinois,Boone County",7.7,6.49,1.28,6.41,2.07,6.46,29,5.66,0.94,7.7,7.36,1.14,7.36,7.07,7.44,7,1.37,0.18,7.7,6.49,1.28,6.41,2.07,6.46,29,5.66,0.94
"Illinois,Brown County",8.5,5.67,1.2,6.41,1.49,6.46,124,2.71,1.95,8.5,7.63,1.17,7.57,7.03,7.63,30,0.66,0.41,8.5,5.45,1.2,5.72,1.49,6.46,183,4,1.62
"Illinois,Bureau County",8.41,6.55,1.18,6.41,1.49,6.46,74,1.9,1.18,8.41,7.34,1,7.33,7.03,7.44,30,0.77,0.24,8.41,6.49,1.17,6.41,1.49,6.46,77,1.98,1.21
"Illinois,Carroll County",7.36,6.73,1,6.41,6.41,6.46,3,1.78,0.55,7.36,7.36,1,7.36,7.36,7.36,1,0.59,NA,7.36,6.29,1,6.41,4.98,6.46,4,2.37,0.98
"Illinois,Champaign County",8.37,6.16,1.2,6.41,1.34,6.46,130,3.08,1.47,8.43,7.43,1.07,7.36,7.07,7.24,27,0.64,0.35,8.37,6.11,1.19,6.41,1.34,6.46,135,3.2,1.46
"Illinois,Christian County",7.36,6.19,1.09,6.41,2.24,6.46,11,1.51,1.35,7.36,7.27,1,7.27,7.17,7.24,2,0.27,0.13,7.36,6.19,1.09,6.41,2.24,6.46,11,1.51,1.35
"Illinois,Clark County",7.93,6.57,1.26,6.41,1.68,6.46,19,1.9,1.31,7.93,7.5,1,7.36,7.07,7.44,7,0.7,0.3,7.93,6.39,1.24,6.41,1.68,6.46,21,2.1,1.36
"Illinois,Clinton County",7.92,6.43,1.15,6.58,1.48,6.46,20,1.26,1.68,7.92,7.52,1,7.36,7.33,7.44,8,0.51,0.24,7.92,6.28,1.18,6.41,1.48,6.46,22,1.39,1.65
"Illinois,Coles County",7.36,6.56,1.11,6.41,6.41,6.46,9,2.02,0.32,7.36,7.36,1,7.36,7.36,7.36,1,0.22,NA,7.36,6.38,1.1,6.41,4.77,6.46,10,2.25,0.64
"Illinois,Cook County",8.5,6.36,1.17,6.41,1.11,6.46,15115,3.03,1.3,8.5,7.48,1.05,7.36,7.01,7.24,3875,0.78,0.35,8.5,6.26,1.17,6.41,1.11,6.46,16215,3.25,1.3
"Illinois,Cumberland County",8.54,5.88,1.24,6.63,1.11,6.85,3959,23.63,2.2,8.54,7.8,1.12,7.85,7.01,8.02,1776,10.6,0.42,8.54,5.77,1.29,6.41,1.11,6.65,4585,27.37,2
"Illinois,Dekalb County",7.48,6.25,1.11,6.41,1.77,6.46,95,2.82,1.21,7.72,7.32,1.05,7.36,7.07,7.24,19,0.56,0.16,7.48,6.07,1.09,6.41,1.77,6.46,108,3.21,1.24
"Illinois,Dupage County",8.01,6.46,1.19,6.41,1.49,6.46,150,3.11,0.95,8.01,7.38,1.03,7.35,7.07,7.44,32,0.66,0.25,8.01,6.39,1.19,6.41,1.49,6.46,157,3.25,0.97
"Illinois,Fayette County",7.33,6.6,1,6.41,6.29,6.46,11,2.7,0.38,7.33,7.33,1,7.33,7.33,7.24,2,0.49,0,7.33,6.33,1,6.41,4.77,6.46,13,3.19,0.74
"Illinois,Franklin County",7.33,4.61,1,4.61,1.89,1.96,2,0.58,3.85,7.33,7.33,1,7.33,7.33,7.33,1,0.29,NA,7.33,4.73,1,4.98,1.89,5.87,3,0.88,2.73
"Illinois,Fulton County",8.41,6.38,1.16,6.41,1.49,6.46,157,3.24,1.2,8.41,7.46,1.03,7.36,7.03,7.44,35,0.72,0.32,8.41,6.29,1.16,6.41,1.49,6.46,166,3.42,1.21
"Illinois,Grundy County",8.07,6.72,1.17,6.41,6.29,6.46,24,2.39,0.53,8.07,7.5,1,7.36,7.17,7.24,7,0.7,0.3,8.07,6.56,1.15,6.41,4.66,6.46,26,2.58,0.76
"Illinois,Hamilton County",6.41,5.15,NA,6.41,2.62,6.46,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,5.15,NA,6.41,2.62,6.46,NA,NA,2.19
"Illinois,Hardin County",8.37,6.49,1.27,6.41,1.77,6.46,30,3.68,1.44,8.37,7.83,1,8.07,7.07,8.22,8,0.98,0.54,8.37,6.31,1.27,6.41,1.77,6.46,33,4.04,1.42
"Illinois,Jackson County",8.19,6.23,1.13,6.41,1.48,6.46,134,1.87,1.32,8.19,7.36,1,7.36,7.03,7.24,24,0.34,0.27,8.19,6.09,1.11,6.41,1.48,6.46,149,2.08,1.32
"Illinois,Jefferson County",8.13,6.21,1.14,6.41,1.49,6.46,117,1.48,1.29,8.13,7.41,1,7.33,7.07,7.24,23,0.29,0.28,8.13,6.12,1.13,6.41,1.49,6.46,127,1.6,1.28
"Illinois,Jo Daviess County",7.33,6.04,1,6.41,1.74,6.46,14,2.52,1.58,7.33,7.33,1,7.33,7.33,7.24,2,0.36,0,7.33,5.91,1,6.41,1.74,6.46,15,2.7,1.6
"Illinois,Kane County",8.5,6.36,1.22,6.41,1.49,6.46,251,3.56,1.43,8.5,7.61,1.06,7.36,7.03,7.44,78,1.11,0.46,8.5,6.27,1.22,6.41,1.49,6.46,265,3.76,1.43
"Illinois,Kankakee County",8.13,6.13,1.16,6.41,1.48,6.46,133,1.23,1.41,8.13,7.57,1.1,7.47,7.07,7.44,21,0.19,0.32,8.13,6.1,1.16,6.41,1.48,6.46,137,1.26,1.39
"Illinois,Kendall County",8.41,6.02,1.12,6.41,1.48,6.46,106,2.5,1.74,8.5,7.64,1.04,7.36,7.07,7.44,23,0.54,0.46,8.41,5.97,1.12,6.41,1.48,6.46,111,2.61,1.72
"Illinois,Knox County",7.36,4.94,1.3,6.41,1.68,6.46,10,3.26,2.35,7.36,7.36,1,7.36,7.36,7.44,2,0.65,0,7.36,4.94,1.3,6.41,1.68,6.46,10,3.26,2.35
"Illinois,La Salle County",7.72,6.56,1.1,6.41,2.62,6.46,69,5.16,0.64,7.72,7.42,1,7.36,7.07,7.24,14,1.05,0.23,7.72,6.44,1.11,6.41,2.62,6.46,75,5.61,0.71
"Illinois,Lake County",8.5,6.34,1.18,6.41,1.23,6.46,663,3.18,1.27,8.5,7.51,1.11,7.36,7.03,7.44,146,0.7,0.33,8.5,6.23,1.18,6.41,1.23,6.46,718,3.44,1.27
"Illinois,Lee County",8.07,6.02,1.17,6.41,1.77,6.46,54,2.46,1.48,8.07,7.43,1,7.33,7.07,7.24,8,0.36,0.37,8.07,5.99,1.16,6.41,1.77,6.46,55,2.5,1.48
"Illinois,Livingston County",7.91,5.91,1,6.41,2.89,6.46,4,4.65,2.13,7.91,7.91,1,7.91,7.91,7.91,1,1.16,NA,7.91,5.56,1,6.41,2.89,6.65,5,5.81,2
"Illinois,Logan County",6.41,6.4,NA,6.41,6.29,6.46,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,6.18,NA,6.41,4.77,6.46,NA,NA,0.55
"Illinois,Macon County",7.36,6.14,1.19,6.41,1.9,6.46,42,3.38,1.3,7.36,7.35,1,7.36,7.33,7.44,5,0.4,0.02,7.36,6.14,1.19,6.41,1.9,6.46,42,3.38,1.3
"Illinois,Macoupin County",8.41,6.33,1.18,6.41,1.49,6.46,268,3.02,1.2,8.41,7.37,1.02,7.33,7.03,7.24,55,0.62,0.25,8.41,6.23,1.17,6.41,1.49,6.46,287,3.23,1.22
"Illinois,Madison County",7.93,6.65,1.21,6.41,6.29,6.46,85,2.5,0.44,7.93,7.39,1.05,7.36,7.07,7.24,21,0.62,0.28,7.93,6.56,1.2,6.41,4.17,6.46,89,2.62,0.59
"Illinois,Marshall County",8.54,6.15,1.27,6.89,1.11,6.85,1487,24.43,2.11,8.54,7.89,1.17,7.92,7.01,8.02,707,11.61,0.42,8.54,6.02,1.32,6.57,1.11,6.65,1711,28.11,1.93
"Illinois,Mason County",7.48,6.44,1.52,6.41,2.07,6.46,31,3.7,0.88,7.48,7.27,1.33,7.33,7.07,7.24,6,0.72,0.17,7.48,6.38,1.5,6.41,2.07,6.46,32,3.82,0.93
"Illinois,McDonough County",7.72,6.42,1.08,6.41,2.62,6.46,39,3.69,0.96,7.72,7.36,1,7.35,7.07,7.44,8,0.76,0.18,7.72,6.42,1.08,6.41,2.62,6.46,39,3.69,0.96
"Illinois,McHenry County",8.5,6.23,1.12,6.41,1.23,6.46,43,4.29,1.95,8.5,7.87,1,7.92,7.33,7.44,14,1.4,0.49,8.5,6.13,1.13,6.41,1.23,6.46,46,4.59,1.92
"Illinois,McLean County",7.93,6.39,1.12,6.41,1.49,6.46,73,2.86,1.01,7.93,7.34,1,7.33,7.07,7.24,12,0.47,0.22,7.93,6.3,1.12,6.41,1.49,6.46,78,3.06,1.03
"Illinois,Montgomery County",8.37,6.62,1.15,6.41,1.48,6.46,101,2.32,0.87,8.37,7.5,1,7.36,7.03,7.24,28,0.64,0.34,8.37,6.53,1.14,6.41,1.48,6.46,107,2.46,0.94
"Illinois,Morgan County",7.72,6.19,1.27,6.41,1.48,6.46,26,3.32,1.44,7.72,7.43,1,7.33,7.33,7.24,4,0.51,0.19,7.72,6.15,1.26,6.41,1.48,6.46,27,3.45,1.43
"Illinois,Peoria County",7.72,6.44,1.2,6.41,1.49,6.46,94,3.27,0.91,7.72,7.38,1.06,7.36,7.17,7.44,17,0.59,0.15,7.72,6.38,1.2,6.41,1.49,6.46,97,3.37,0.95
"Illinois,Piatt County",7.72,6.05,1.2,6.41,1.49,6.46,30,3.8,1.53,7.72,7.36,1.2,7.36,7.03,7.44,5,0.63,0.24,7.72,6.05,1.2,6.41,1.49,6.46,30,3.8,1.53
"Illinois,Randolph County",7.7,5.19,1,6.41,2.24,7.24,5,5.95,2.73,7.7,7.53,1,7.53,7.36,7.44,2,2.38,0.24,7.7,5.19,1,6.41,2.24,7.24,5,5.95,2.73
"Illinois,Richland County",7.36,6.04,1.39,6.41,1.49,6.46,18,2.25,1.59,7.36,7.26,1.33,7.36,7.07,7.44,3,0.38,0.17,7.36,6.04,1.39,6.41,1.49,6.46,18,2.25,1.59
"Illinois,Rock Island County",7.36,6.55,1.16,6.41,2.76,6.46,32,3.12,0.8,7.36,7.3,1,7.33,7.07,7.24,9,0.88,0.09,7.36,6.51,1.15,6.41,2.76,6.46,33,3.22,0.84
"Illinois,Saline County",7.9,6.52,1.13,6.41,1.49,6.46,204,2.23,0.83,7.9,7.3,1.02,7.33,7.07,7.24,49,0.54,0.19,7.9,6.44,1.12,6.41,1.49,6.46,213,2.33,0.89
"Illinois,Sangamon County",8.37,6.37,1.17,6.41,1.49,6.46,166,2.98,1.25,8.37,7.47,1,7.36,7.03,7.24,40,0.72,0.34,8.37,6.28,1.17,6.41,1.49,6.46,179,3.21,1.24
"Illinois,Shelby County",8.41,5.8,1.13,6.55,1.23,7.24,150,11.55,2.38,8.5,7.74,1.06,7.8,7.01,8.02,68,5.23,0.44,8.41,5.7,1.18,6.41,1.23,6.65,178,13.7,2.15
"Illinois,St Clair County",8.43,6.26,1.17,6.41,1.23,6.46,626,3.25,1.25,8.43,7.42,1.02,7.36,7.03,7.24,100,0.52,0.32,8.43,6.15,1.17,6.41,1.23,6.46,672,3.49,1.26
"Illinois,Stephenson County",8.5,6.05,1.17,6.41,1.48,6.46,121,6,1.77,8.5,7.7,1.12,7.71,7.03,7.24,33,1.64,0.52,8.5,5.94,1.2,6.41,1.48,6.46,132,6.54,1.67
"Illinois,Vermilion County",8.07,6.49,1.16,6.41,1.49,6.46,125,2.27,1.05,8.07,7.38,1,7.33,7.07,7.44,34,0.62,0.22,8.07,6.41,1.16,6.41,1.49,6.46,131,2.38,1.07
"Illinois,Warren County",7.36,6.73,1.33,6.41,6.41,6.46,3,0.94,0.55,7.36,7.36,1,7.36,7.36,7.36,1,0.31,NA,7.36,6.25,1.25,6.41,4.83,6.46,4,1.25,1.05
"Illinois,Whiteside County",8.5,6.29,1.29,6.89,1.17,8.02,1030,22.39,2.01,8.54,7.88,1.14,7.92,7.01,8.02,531,11.54,0.4,8.5,6.13,1.33,6.58,1.17,6.65,1192,25.91,1.86
"Illinois,Will County",8.5,6.29,1.18,6.41,1.23,6.46,1488,4.75,1.64,8.5,7.7,1.1,7.71,7.01,7.24,496,1.58,0.45,8.5,6.17,1.2,6.41,1.23,6.46,1634,5.21,1.58
"Illinois,Winnebago County",8.37,6.52,1.22,6.41,1.49,6.46,172,3.17,1.05,8.5,7.53,1.04,7.36,7.07,7.24,47,0.87,0.33,8.37,6.45,1.23,6.41,1.49,6.46,179,3.3,1.06
"Indiana,Allen County",8.5,6.46,1.18,6.41,1.49,6.46,368,2.54,1.05,8.5,7.41,1.01,7.36,7.03,7.24,85,0.59,0.27,8.5,6.37,1.17,6.41,1.49,6.46,390,2.7,1.09
"Indiana,Bartholomew County",7.93,5.99,1.37,6.41,1.48,6.46,19,1.59,1.87,7.93,7.64,1,7.64,7.33,7.44,4,0.34,0.34,7.93,5.99,1.37,6.41,1.48,6.46,19,1.59,1.87
"Indiana,Boone County",7.79,6.08,1.19,6.41,2.24,6.46,36,2.6,1.42,7.79,7.37,1,7.33,7.07,7.24,5,0.36,0.26,7.79,6.05,1.19,6.41,2.24,6.46,37,2.68,1.42
"Indiana,Cass County",7.09,5.94,1.33,6.41,1.23,6.46,15,2.54,1.46,7.79,7.79,1,7.79,7.79,7.79,1,0.17,NA,7.09,5.88,1.31,6.41,1.23,6.46,16,2.71,1.43
"Indiana,Clark County",8.18,6.42,1.21,6.41,1.48,6.46,58,2.69,1.2,8.18,7.49,1,7.36,7.33,7.44,13,0.6,0.3,8.18,6.33,1.21,6.41,1.48,6.46,61,2.83,1.22
"Indiana,Clinton County",8.37,5.9,1.23,6.41,1.48,6.46,26,3.1,2.09,8.37,7.75,1.2,7.8,7.19,7.83,10,1.19,0.34,8.37,5.81,1.26,6.4,1.48,6.46,31,3.69,1.92
"Indiana,Crawford County",7.71,6.8,1.09,6.87,6.02,6.46,11,0.62,0.5,7.71,7.31,1,7.33,7.03,7.24,5,0.28,0.25,7.71,6.65,1.08,6.7,4.98,6.46,12,0.68,0.71
"Indiana,Dearborn County",7.48,7.17,1.03,7.33,1.77,7.44,95,14.01,0.64,7.48,7.33,1,7.33,7.33,7.44,84,12.39,0.02,7.48,7.12,1.03,7.33,1.77,7.24,97,14.31,0.72
"Indiana,Decatur County",6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0
