word,valence,arousal,dominance
rígido,3.39,4.89,4.51
riña,2.16,6.99,4.13
río,7.03,4.62,4.58
riqueza,7.04,5.81,5.42
risa,8.34,7.10,6.14
roca,4.92,3.90,5.28
rojo,5.93,5.93,5.48
romántico,7.99,7.07,5.72
roña,1.94,5.38,5.39
ropa,6.69,5.63,5.78
roto,3.02,5.46,3.93
rubio,5.28,4.96,4.78
ruidoso,2.63,6.93,3.62
sabio,7.14,5.17,5.67
sabor,6.88,5.39,5.33
salud  ,7.74,5.31,5.39
saludar,6.61,5.12,6.04
saludo,6.86,5.60,6.42
salvador,6.89,5.51,5.34
sangriento,1.42,6.79,3.16
santo,4.87,3.56,4.19
sarampión,1.84,4.96,2.72
satisfecho,7.88,5.31,6.59
secador,5.01,4.42,5.23
seda,6.73,4.00,5.40
seguro,7.48,4.34,6.90
seno,5.81,4.80,5.17
sentimiento,7.36,6.79,4.33
serio,3.80,4.04,4.73
serpiente,3.07,6.74,3.54
sexo,7.76,7.59,5.87
sexy,7.33,7.07,5.80
sífilis,1.60,5.21,3.02
silbato,4.21,5.81,4.84
silla,5.03,3.48,5.57
simpático,7.94,6.62,6.38
snob,3.14,5.12,4.81
sobrecogido,3.00,5.67,3.73
sobresaltado,4.01,7.59,3.27
sociable,7.56,6.06,6.01
soga,2.01,5.83,3.22
sol,7.90,5.69,5.41
soleado,8.14,6.39,5.42
soledad,2.50,4.67,3.78
solemne,4.58,4.31,4.76
solitario,2.68,4.40,4.23
solo,2.76,3.61,4.58
sombra,4.03,4.57,4.23
sombrero,4.87,4.11,5.46
sonajero,6.06,4.96,5.74
sorprendido,6.29,6.87,3.76
soso,2.49,3.99,5.07
sospechoso,3.07,6.46,3.71
spray,4.17,4.78,5.10
suave,7.04,4.29,5.32
suburbio,2.50,5.32,3.18
suciedad,1.98,5.61,5.48
sucio,1.91,5.62,5.50
sueño,6.60,3.63,4.10
suicidio,1.24,6.80,4.01
sustento,5.49,4.98,5.01
tabaco,3.18,5.06,4.57
tablero,4.80,4.71,5.21
taburete,4.79,3.59,5.44
talento,7.44,5.84,5.83
tanque,2.39,6.04,3.03
tarta,7.26,5.26,5.53
taxi,4.64,4.71,4.86
tela,5.11,4.24,5.58
temeroso,2.67,6.22,3.30
temor,1.96,6.90,2.77
temperamental,4.27,6.14,4.24
tenedor,4.80,4.43,5.56
tenis,5.81,5.37,5.41
tenso,2.73,7.12,3.57
tenue,5.23,3.79,5.20
teoría,4.59,4.67,4.81
termita,3.40,5.04,4.74
termómetro,4.28,4.49,4.87
terrible,1.49,6.87,2.91
terrorista,1.51,7.33,2.28
tesoro,7.27,6.39,5.37
tiburón,3.07,7.38,3.46
tiempo,5.27,5.51,3.54
tierno,7.91,4.47,5.81
tierra,5.63,4.64,4.93
tieso,3.68,4.38,4.33
tijeras,4.18,5.00,5.01
tímido,4.17,4.24,4.07
tinta,4.62,4.69,5.28
tobillo,4.60,4.33,5.16
tobogán,6.54,6.42,5.40
tolerante,7.66,4.72,6.20
tonada,5.00,4.72,4.70
tontería,4.19,5.36,5.12
tonto,3.30,4.57,4.51
tormenta,4.14,6.10,2.94
tornado,2.24,6.94,2.17
torpe,3.09,5.26,3.98
torre,5.16,4.54,4.52
tortura,1.24,7.47,2.44
tóxico,1.77,6.21,3.29
tragedia,1.64,7.24,2.52
traicionar,1.58,6.57,3.96
traidor,1.53,6.83,3.53
trampolín,5.69,5.90,5.43
tranquilo,6.86,2.36,5.61
trauma,1.66,5.86,3.13
travesía,5.44,5.04,5.17
travesura,6.03,6.82,5.52
triste,2.00,4.33,3.59
triunfante,7.51,6.72,5.59
triunfo,7.89,7.03,5.96
trofeo,7.30,6.89,6.26
trompeta,5.19,5.70,4.81
tumba,1.74,4.90,3.06
tumor,1.34,6.77,1.98
turbio,2.81,4.99,3.72
úlcera,1.70,5.71,2.51
unidad,5.50,4.43,5.34
utensilio,4.78,4.44,5.50
útil,7.24,5.96,6.20
vaca,5.41,4.57,4.60
vacación,8.52,6.18,6.37
vacilar,3.83,6.37,4.94
vagina,5.00,4.82,5.02
valiente,7.49,6.46,6.37
vampiro,3.49,6.26,3.82
vándalo,2.49,6.29,3.49
vanidad,2.83,5.49,4.41
vehículo,6.33,5.78,5.09
velero,6.41,4.88,4.93
veloz,5.99,6.72,5.22
vencedor,7.39,6.77,5.66
vencido,2.20,5.06,3.56
venda,4.14,4.72,4.84
veneno,1.67,6.93,3.62
ventaja,6.90,5.60,5.36
ventana,5.88,4.88,5.58
verdad,7.78,5.72,6.36
verde,6.43,4.72,5.48
vergonzoso,3.14,6.13,3.22
vertedero,2.20,4.81,3.84
vestido,6.32,5.32,6.16
viajes,7.84,7.39,5.99
víctima,1.74,6.37,2.74
victimismo,2.48,5.90,4.16
victoria,7.93,7.19,6.47
vida,8.07,6.59,5.32
vidrio,4.64,4.58,5.17
vigilante,4.83,5.09,4.79
vigoroso,5.99,5.62,5.54
vino,4.88,5.47,5.14
violación,1.11,7.98,2.13
violento,1.69,7.06,3.58
violín,6.14,4.10,5.07
virgen,4.66,4.23,5.01
virtud,7.27,5.10,5.47
viruela,1.77,5.04,2.98
visión,6.82,5.28,5.21
vívido,5.70,5.93,5.13
vivo,8.07,6.54,6.53
volcán,3.52,6.63,2.58
vómito,1.76,5.80,3.12
yate,6.57,5.19,5.49
zafiro,6.71,5.21,5.12
zurra,1.96,6.63,3.97
